"Indicators","S.No","Parameters","Type","Total Facility","April 11-12","April 12-13","Difference-April 12-13-April 11-12","Total Reported Facility","May 11-12","May 12-13","Difference-May 12-13-May 11-12","Total Reported Facility","June 11-12","June 12-13","Difference-June 12-13-June 11-12","Total Reported Facility","July 11-12","July 12-13","Difference-July 12-13-July 11-12","Total Reported Facility","August 11-12","August 12-13","Difference-August 12-13-August 11-12","Total Reported Facility","September 11-12","September 12-13","Difference-September 12-13-September 11-12","Total Reported Facility","October 11-12","October 12-13","Difference-October 12-13-October 11-12","Total Reported Facility","November 11-12","November 12-13","Difference-November 12-13-November 11-12","Total Reported Facility","December 11-12","December 12-13","Difference-December 12-13-December 11-12","Total Reported Facility","January 11-12","January 12-13","Difference-January 12-13-January 11-12","Total Reported Facility","February 11-12","February 12-13","Difference-February 12-13-February 11-12","Total Reported Facility","March 11-12","March 12-13","Difference-March 12-13-March 11-12","Total Reported Facility","Total 2011-2012","Total 2012-2013"
"M10 [CHILD IMMUNIZATION]","10.3.5.c","Number of cases of other complications reported following immunisation [Adverse Event Following Immunisation (AEFI)]","TOTAL","154",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA
"M10 [CHILD IMMUNIZATION]","10.4.1","Number of Immunisation sessions planned to be held during the month","TOTAL","154","1372","1372","0","0","1372","1372","0","0","1372","1372","0","0","1372","1372","0","0","1372","1488","116","0","1372","1488","116","0","1372","1488","116","0","1372","1488","116","0","1372","1488","116","0","1372","1488","116","0","1372","1488","116","0","1372","1488","116","0","16464","17392"
"M10 [CHILD IMMUNIZATION]","10.4.2","Number of Immunisation sessions held during the month","TOTAL","154","1372","1372","0","0","1372","1372","0","0","1372","1372","0","0","1372","1372","0","0","1372","1488","116","0","1372","1488","116","0","1372","1488","116","0","1372","1488","116","0","1372","1488","116","0","1372","1488","116","0","1372","1488","116","0","1372","1488","116","0","16464","17392"
"M10 [CHILD IMMUNIZATION]","10.4.3","Number of Immunisation sessions held during the month where ASHAs were present","TOTAL","154","1372","1372","0","0","1372","1372","0","0","1372","1372","0","0","1372","1372","0","0","1372","1488","116","0","1372","1488","116","0","1372","1488","116","0","1372","1488","116","0","1372","1488","116","0","1372","1488","116","0","1372","1488","116","0","1372","1488","116","0","16464","17392"
"M10 [CHILD IMMUNIZATION]","10.5.1","Number of children (more than 16 months old) received Japanese Encephalitis (JE) vaccination","TOTAL","154",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA
"M11 [Number of Vitamin A doses]","11.1.1","Number of children (9 months to 5 years old) administered 1st dose of Vitamin A (Dose-1)","TOTAL","154","6538","2336","-4202","0","1438","2744","1306","0","1002","2271","1269","0","398","2232","1834","0","423","2142","1719","0","305","1864","1559","0","208","1381","1173","0","210","83","-127","0",NA,"885","885","0",NA,"1339","1339","0",NA,"2014","2014","0",NA,"6761","6761","0","10522","26052"
"M11 [Number of Vitamin A doses]","11.1.2","Number of children (9 months to 5 years old) were administered 5th dose of Vitamin A (Dose-5)","TOTAL","154","716","1596","880","0","473","1195","722","0","96","920","824","0","529","2031","1502","0",NA,"1148","1148","0",NA,"761","761","0",NA,"496","496","0",NA,"829","829","0",NA,"319","319","0",NA,"1635","1635","0",NA,"2992","2992","0",NA,"18893","18893","0","1814","32815"
"M11 [Number of Vitamin A doses]","11.1.3","Number of children (9 months to 5 years old) administered 9th dose of Vitamin A (Dose-9)","TOTAL","154","472","568","96","0","234","719","485","0","86","660","574","0","519","1110","591","0",NA,"506","506","0",NA,"305","305","0",NA,"390","390","0",NA,"481","481","0",NA,"253","253","0",NA,NA,"0","0",NA,NA,"0","0",NA,"4845","4845","0","1311","9837"
"M12 [Number of cases of Childhood Diseases reported during the month0-5 years:]","12.1","Number of cases of Diptheria reported in children below 5 years of age","TOTAL","154",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA
"M12 [Number of cases of Childhood Diseases reported during the month0-5 years:]","12.2","Number of cases of Pertusis reported in children below 5 years of age","TOTAL","154",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA
"M12 [Number of cases of Childhood Diseases reported during the month0-5 years:]","12.3","Number of cases of Tetanus neonatarum reported in children below 5 years of age","TOTAL","154",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA
"M12 [Number of cases of Childhood Diseases reported during the month0-5 years:]","12.4","Number of cases of Tetanus other than neonatarum reported in children below 5 years of age","TOTAL","154",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA
"M12 [Number of cases of Childhood Diseases reported during the month0-5 years:]","12.5","Number of cases of Polio reported in children below 5 years of age","TOTAL","154",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA
"M12 [Number of cases of Childhood Diseases reported during the month0-5 years:]","12.6","Number of cases of Measles reported in children below 5 years of age","TOTAL","154",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA
"M12 [Number of cases of Childhood Diseases reported during the month0-5 years:]","12.7","Number of cases of Diarrhoea and Dehydration reported in children below 5 years of age","TOTAL","154","150","89","-61","0","102","145","43","0","52","119","67","0","97","110","13","0","168","110","-58","0","164","182","18","0","37","138","101","0","92",NA,"-92","0","157","76","-81","0","43","79","36","0","182","19","-163","0","166","74","-92","0","1410","1141"
"M12 [Number of cases of Childhood Diseases reported during the month0-5 years:]","12.8","Number of cases of Malaria reported in children below 5 years of age","TOTAL","154",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,"1","1","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,"1"
"M12 [Number of cases of Childhood Diseases reported during the month0-5 years:]","12.9","Number of children below 5 years of age admitted with Respiratory Infections","TOTAL","154",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0","132",NA,"-132","0",NA,"3","3","0",NA,NA,"0","0",NA,NA,"0","0",NA,"15","15","0",NA,"13","13","0",NA,"15","15","0","132","46"
"M13 [Blindness Control Programme]","13.1","Number of Patients operated for cataract","TOTAL","154","6512","1173","-5339","0","6493","1161","-5332","0","6520",NA,"-6520","0","5684",NA,"-5684","0","6578","2392","-4186","0","6578",NA,"-6578","0","5216","1110","-4106","0","6712",NA,"-6712","0","6408",NA,"-6408","0","5112",NA,"-5112","0","5826","1006","-4820","0",NA,"1122","1122","0","67639","7964"
"M13 [Blindness Control Programme]","13.2","Number of Intraocular Lens(IOL) implantations","TOTAL","154","6512","1173","-5339","0","6487","1161","-5326","0","6520",NA,"-6520","0","5684",NA,"-5684","0","6578","2392","-4186","0","6578",NA,"-6578","0","5216","1110","-4106","0","6709",NA,"-6709","0","6407",NA,"-6407","0","5112",NA,"-5112","0","5826","1006","-4820","0",NA,"1122","1122","0","67629","7964"
"M13 [Blindness Control Programme]","13.3","Number of School children detected with Refractive errors","TOTAL","154",NA,"346","346","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0","13075",NA,"-13075","0","1845",NA,"-1845","0","974","6","-968","0",NA,"228","228","0","15894","580"
"M13 [Blindness Control Programme]","13.4","Number of children provided free glasses","TOTAL","154",NA,"346","346","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0","1046",NA,"-1046","0","1845",NA,"-1845","0","974","6","-968","0",NA,"228","228","0","3865","580"
"M13 [Blindness Control Programme]","13.5","Number of eyes collected through eye donation","TOTAL","154","252","18","-234","0","286","12","-274","0","252",NA,"-252","0","382",NA,"-382","0","294","26","-268","0","294",NA,"-294","0","312","14","-298","0","228",NA,"-228","0","356",NA,"-356","0","359",NA,"-359","0","303","23","-280","0",NA,"17","17","0","3318","110"
"M13 [Blindness Control Programme]","13.6","Number of eyes utilised for corneal transplant","TOTAL","154","252","18","-234","0","286","12","-274","0","252",NA,"-252","0","382",NA,"-382","0","294","26","-268","0","294",NA,"-294","0","312","14","-298","0","228",NA,"-228","0","356",NA,"-356","0","359",NA,"-359","0","303","23","-280","0",NA,"17","17","0","3318","110"
"M14 [Patient Services]","14.01","Number of CHC or SDH or DH functioning as First Referral units (FRUs)","TOTAL","154","10","10","0","0","10","10","0","0","10","10","0","0","5","10","5","0","5","10","5","0","5","10","5","0","5","10","5","0","5","10","5","0","5","10","5","0","10","10","0","0","5","10","5","0","5","10","5","0","80","120"
"M14 [Patient Services]","14.02","Number of PHCs functioning 24X7 with atleast 3 Staff Nurses","TOTAL","154","10","10","0","0","10","10","0","0","10","10","0","0","10","10","0","0","10","10","0","0","10","10","0","0","10","10","0","0","10","10","0","0","10","10","0","0","10","10","0","0","10","10","0","0","10","10","0","0","120","120"
"M14 [Patient Services]","14.03","Number of Anganwadi centres reported to have conducted VHNDs","TOTAL","154",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA
"M14 [Patient Services]","14.04","Number of facilities having a Rogi Kalyan Samiti (RKS)","TOTAL","154","10","10","0","0","10","1","-9","0","10",NA,"-10","0","16",NA,"-16","0","16",NA,"-16","0","16",NA,"-16","0","16",NA,"-16","0","16",NA,"-16","0","16",NA,"-16","0","5",NA,"-5","0","16",NA,"-16","0","16",NA,"-16","0","163","11"
"M14 [Patient Services]","14.05","Number of RKS meetings held during the month","TOTAL","154","10","10","0","0","10","1","-9","0","10",NA,"-10","0","10",NA,"-10","0","10",NA,"-10","0","10",NA,"-10","0","10",NA,"-10","0","10",NA,"-10","0","10",NA,"-10","0","10",NA,"-10","0","10",NA,"-10","0","10",NA,"-10","0","120","11"
"M14 [Patient Services]","14.06","Number of facilities having Ambulance services (Assured Referral Services)","TOTAL","154","5",NA,"-5","0","5","5","0","0","5",NA,"-5","0","5",NA,"-5","0","5",NA,"-5","0","5",NA,"-5","0","5",NA,"-5","0","5",NA,"-5","0","5",NA,"-5","0","5",NA,"-5","0","5",NA,"-5","0","5",NA,"-5","0","60","5"
"M14 [Patient Services]","14.07","Total Number of times the Ambulance was used for transporting patients during the month","TOTAL","154",NA,"5","5","0",NA,"108","108","0","20",NA,"-20","0","170",NA,"-170","0","175","106","-69","0","175",NA,"-175","0","175","106","-69","0","175","106","-69","0",NA,"106","106","0",NA,"106","106","0","112","106","-6","0","112","106","-6","0","1114","855"
"M14 [Patient Services]","14.08","Number of Institutions having Operational Sick New Born and Child Care Units (SNCU)","TOTAL","154",NA,NA,"0","0",NA,"4","4","0",NA,NA,"0","0","2",NA,"-2","0","2",NA,"-2","0","2",NA,"-2","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0","6","4"
"M14 [Patient Services]","14.09","Number of functional Laproscopes in CHC/SDH/DH","TOTAL","154","40",NA,"-40","0","35","3","-32","0","35",NA,"-35","0","35",NA,"-35","0","35","6","-29","0","35",NA,"-35","0","5","6","1","0","3","6","3","0","3","6","3","0","3","6","3","0","35","6","-29","0","3","6","3","0","267","45"
"M14 [Patient Services]","14.10.1.a","Number of male patients admitted (Inpatients) during the month","1. Children","154","152",NA,"-152","0",NA,NA,"0","0",NA,"393","393","0",NA,"334","334","0",NA,"236","236","0",NA,"312","312","0",NA,"1290","1290","0",NA,"2006","2006","0",NA,"21","21","0",NA,NA,"0","0","87","151","64","0",NA,"20","20","0","239","4763"
"M14 [Patient Services]","14.10.1.a","Number of male patients admitted (Inpatients) during the month","2. Adults","154","22710",NA,"-22710","0",NA,NA,"0","0","1743","583","-1160","0",NA,"792","792","0",NA,"893","893","0",NA,"553","553","0",NA,"361","361","0",NA,"534","534","0",NA,"169","169","0",NA,"89","89","0","100","1169","1069","0",NA,"647","647","0","24553","5790"
"M14 [Patient Services]","14.10.1.b","Number of female patients (Inpatients) admitted during the month","1. Children","154","413",NA,"-413","0",NA,NA,"0","0",NA,"275","275","0",NA,"349","349","0",NA,"311","311","0",NA,"289","289","0",NA,"546","546","0",NA,"2015","2015","0",NA,"17","17","0",NA,"70","70","0",NA,"464","464","0",NA,"42","42","0","413","4378"
"M14 [Patient Services]","14.10.1.b","Number of female patients (Inpatients) admitted during the month","2. Adults","154","31579",NA,"-31579","0",NA,NA,"0","0","1380","2806","1426","0","3367","1396","-1971","0","1209","5718","4509","0","1209","2705","1496","0","2229","847","-1382","0",NA,"1273","1273","0",NA,"250","250","0",NA,"265","265","0","1449","1121","-328","0","1091","577","-514","0","43513","16958"
"M14 [Patient Services]","14.10.1.c","Total number of patients admitted (Inpatients) during the month (sum of items 14.10.1.a and 14.10.1.b)","1. Children","154","565",NA,"-565","0",NA,NA,"0","0",NA,"668","668","0",NA,"683","683","0",NA,"547","547","0",NA,"601","601","0",NA,"1836","1836","0",NA,"4021","4021","0",NA,"38","38","0",NA,"70","70","0","87","615","528","0",NA,"62","62","0","652","9141"
"M14 [Patient Services]","14.10.1.c","Total number of patients admitted (Inpatients) during the month (sum of items 14.10.1.a and 14.10.1.b)","2. Adults","154","54289",NA,"-54289","0",NA,NA,"0","0","3123","3389","266","0","3367","2188","-1179","0","1209","6611","5402","0","1209","3258","2049","0","2229","1208","-1021","0",NA,"1807","1807","0",NA,"419","419","0",NA,"354","354","0","1549","2290","741","0","1091","1224","133","0","68066","22748"
"M14 [Patient Services]","14.10.2.a","Number of death cases of Inpatient males","TOTAL","154",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,"4","4","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,"9","9","0",NA,"13"
"M14 [Patient Services]","14.10.2.b","Number of death cases of Inpatient females","TOTAL","154",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0","2",NA,"-2","0",NA,"3","3","0",NA,"10","10","0","1",NA,"-1","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0","1",NA,"-1","0",NA,"4","4","0","4","17"
"M14 [Patient Services]","14.10.2.c","Number of cases of death of Inpatients (sum of items 14.10.2.a and 14.10.2.b)","TOTAL","154",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0","2",NA,"-2","0",NA,"3","3","0",NA,"14","14","0","1",NA,"-1","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0","1",NA,"-1","0",NA,"13","13","0","4","30"
"M14 [Patient Services]","14.11","In-Patient Head Count at midnight","TOTAL","154","54854",NA,"-54854","0",NA,"19391","19391","0","3123","4513","1390","0","3367","2871","-496","0","1209","16777","15568","0","1209","16349","15140","0","2229","3044","815","0",NA,"124","124","0",NA,NA,"0","0",NA,"424","424","0","1636",NA,"-1636","0","1091",NA,"-1091","0","68718","63493"
"M14 [Patient Services]","14.12.1","OPD attendance (All)","TOTAL","154","54854",NA,"-54854","0","61082","171836","110754","0","69815","113244","43429","0","98330","113654","15324","0","61894","156374","94480","0","88906","105526","16620","0","91132","105162","14030","0","65962","78803","12841","0","64691","92587","27896","0","76074","96931","20857","0","109711","96692","-13019","0","8118","99275","91157","0","850569","1230084"
"M14 [Patient Services]","14.13.1","Number of major operations carried out using general or spinal anaesthesia","TOTAL","154",NA,NA,"0","0",NA,"2810","2810","0","105","1123","1018","0","1108","664","-444","0","493","2844","2351","0","493","300","-193","0","1088","328","-760","0",NA,"335","335","0",NA,NA,"0","0",NA,NA,"0","0","860","176","-684","0","537",NA,"-537","0","4684","8580"
"M14 [Patient Services]","14.13.1A","Out of 14.13.1,Gynecology- Hysterectomy surgeries","TOTAL","154",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA
"M14 [Patient Services]","14.13.2","Number of minor operations carried out without anaesthesia or using local anaesthesia","TOTAL","154",NA,NA,"0","0",NA,"6564","6564","0","1672","1057","-615","0","93","920","827","0","48","3770","3722","0","48","728","680","0","50","610","560","0",NA,"208","208","0",NA,"87","87","0",NA,"115","115","0","137","214","77","0","13","159","146","0","2061","14432"
"M14 [Patient Services]","14.14.a","Number of patients given AYUSH treatment","TOTAL","154",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA
"M14 [Patient Services]","14.14.b","Number of patients on whom Dental Procedure was conducted","TOTAL","154",NA,NA,"0","0",NA,NA,"0","0",NA,"1087","1087","0",NA,"1589","1589","0",NA,"1355","1355","0",NA,"971","971","0",NA,"1084","1084","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,"1593","1593","0",NA,NA,"0","0",NA,"7679"
"M14 [Patient Services]","14.14.c","Number of Adolescents counselled","TOTAL","154",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,"57","57","0",NA,NA,"0","0",NA,"57"
"M15 [Laboratory Testing]","15.1.1.a","Number of Haemoglobin (Hb) tests conducted","TOTAL","154","3176",NA,"-3176","0","2379",NA,"-2379","0","4748","5291","543","0","8362","2403","-5959","0","3897","1580","-2317","0","3897","64","-3833","0","8069","1689","-6380","0","3900",NA,"-3900","0","4054","515","-3539","0","4018","703","-3315","0","5842","1071","-4771","0","1700","84","-1616","0","54042","13400"
"M15 [Laboratory Testing]","15.1.1.b","Out of the total number of Hb tests conducted, number of cases having Hb less than 7gm/dl","TOTAL","154","277",NA,"-277","0","140",NA,"-140","0","391","188","-203","0","666","166","-500","0","445","1908","1463","0","445","1804","1359","0","218","887","669","0","133",NA,"-133","0","80","50","-30","0","103","10","-93","0","224","133","-91","0","32","664","632","0","3154","5810"
"M15 [Laboratory Testing]","15.1.2.a","Number of HIV tests conducted on males","1. Number tested","154",NA,NA,"0","0",NA,NA,"0","0","357","219","-138","0",NA,"600","600","0",NA,"658","658","0","2","313","311","0",NA,"1326","1326","0",NA,"1129","1129","0",NA,"226","226","0",NA,"36","36","0","155","232","77","0","35","56","21","0","549","4795"
"M15 [Laboratory Testing]","15.1.2.a","Number of HIV tests conducted on males","2. Number Positive","154",NA,NA,"0","0",NA,NA,"0","0","47","10","-37","0",NA,"22","22","0",NA,"14","14","0",NA,"13","13","0",NA,"12","12","0",NA,"26","26","0",NA,"26","26","0",NA,NA,"0","0","3","185","182","0",NA,"17","17","0","50","325"
"M15 [Laboratory Testing]","15.1.2.b","Number of HIV tests conducted on Female-Non ANC (i.e. non pregnant females)","1. Number tested","154",NA,NA,"0","0",NA,NA,"0","0","285","164","-121","0","149","698","549","0","68","968","900","0","68","279","211","0","81","276","195","0",NA,"340","340","0",NA,"42","42","0",NA,"285","285","0","235","135","-100","0","46","8","-38","0","932","3195"
"M15 [Laboratory Testing]","15.1.2.b","Number of HIV tests conducted on Female-Non ANC (i.e. non pregnant females)","2. Number Positive","154",NA,NA,"0","0",NA,NA,"0","0","27","9","-18","0",NA,"11","11","0",NA,"12","12","0","1","6","5","0",NA,"9","9","0",NA,"9","9","0",NA,"18","18","0",NA,"8","8","0","4","196","192","0","1",NA,"-1","0","33","278"
"M15 [Laboratory Testing]","15.1.2.c","Number of HIV tests conducted on Female with ANC (i.e. pregnant females)","1. Number tested","154",NA,NA,"0","0",NA,NA,"0","0","3","414","411","0","3215","789","-2426","0","1164","2659","1495","0","1164","739","-425","0","1938","1226","-712","0",NA,"2286","2286","0",NA,"312","312","0",NA,"296","296","0","2187","1385","-802","0","1079","356","-723","0","10750","10462"
"M15 [Laboratory Testing]","15.1.2.c","Number of HIV tests conducted on Female with ANC (i.e. pregnant females)","2. Number Positive","154",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,"12","12","0","2","1718","1716","0",NA,"1718","1718","0",NA,NA,"0","0",NA,"17","17","0",NA,"8","8","0","13","364","351","0","1","76","75","0","16","3913"
"M15 [Laboratory Testing]","15.1.2.d","Total number of HIV tests conducted (sum of items 15.1.2.a to 15.1.2.c)","1. Number tested","154",NA,NA,"0","0",NA,NA,"0","0","645","797","152","0","3364","2087","-1277","0","1232","4285","3053","0","1234","1331","97","0","2019","2828","809","0",NA,"3755","3755","0",NA,"580","580","0",NA,"617","617","0","2577","1752","-825","0","1160","420","-740","0","12231","18452"
"M15 [Laboratory Testing]","15.1.2.d","Total number of HIV tests conducted (sum of items 15.1.2.a to 15.1.2.c)","2. Number Positive","154",NA,NA,"0","0",NA,NA,"0","0","74","19","-55","0",NA,"33","33","0",NA,"38","38","0","3","1737","1734","0",NA,"1739","1739","0",NA,"35","35","0",NA,"61","61","0",NA,"16","16","0","20","745","725","0","2","93","91","0","99","4516"
"M15 [Laboratory Testing]","15.2","Number of Widal tests conducted","Number tested","154",NA,NA,"0","0",NA,NA,"0","0","56","387","331","0",NA,"557","557","0",NA,"1655","1655","0",NA,"186","186","0",NA,"1426","1426","0",NA,"60","60","0",NA,"64","64","0",NA,"151","151","0","175","75","-100","0",NA,"5","5","0","231","4566"
"M15 [Laboratory Testing]","15.3.a","Number of VDRL tests conducted on males","Number tested","154",NA,NA,"0","0",NA,NA,"0","0","50","112","62","0",NA,"307","307","0",NA,"192","192","0",NA,"214","214","0",NA,"258","258","0",NA,"182","182","0",NA,NA,"0","0",NA,"38","38","0",NA,"230","230","0",NA,NA,"0","0","50","1533"
"M15 [Laboratory Testing]","15.3.b","Number of VDRL tests conducted on Female-Non ANC (i.e. non pregnant females)","Number tested","154",NA,NA,"0","0",NA,NA,"0","0","33","136","103","0","137","201","64","0","41","861","820","0","41","182","141","0","54","205","151","0",NA,"248","248","0",NA,NA,"0","0",NA,"72","72","0","17","1010","993","0","32","160","128","0","355","3075"
"M15 [Laboratory Testing]","15.3.c","Number of VDRL tests conducted on Female with ANC (i.e. pregnant females)","Number tested","154",NA,NA,"0","0",NA,NA,"0","0",NA,"489","489","0","87","991","904","0","26","1391","1365","0","26","1463","1437","0","56","1138","1082","0",NA,"1608","1608","0",NA,"24","24","0",NA,"110","110","0","44","1303","1259","0","62","184","122","0","301","8701"
"M15 [Laboratory Testing]","15.3.d","Total number of VDRL tests conducted (sum of items 15.3.a to 15.3.c)","Number tested","154",NA,NA,"0","0",NA,NA,"0","0","83","737","654","0","224","1499","1275","0","67","2444","2377","0","67","1859","1792","0","110","1601","1491","0",NA,"2038","2038","0",NA,"24","24","0",NA,"220","220","0","61","2543","2482","0","94","344","250","0","706","13309"
"M15 [Laboratory Testing]","15.4.1","Number of blood smears examined for Malaria","TOTAL","154","19583","12833","-6750","0","19328","17053","-2275","0","23871","20551","-3320","0","21709","18099","-3610","0","22884","19806","-3078","0","22884","20441","-2443","0","21207","18746","-2461","0","20823","16085","-4738","0","19980","14483","-5497","0","20772","12298","-8474","0","17661","12246","-5415","0","19543","13578","-5965","0","250245","196219"
"M15 [Laboratory Testing]","15.4.2","Out of blood smears examined for malaria, number of blood smears tested positive for Plasmodium Vivax","TOTAL","154","27","6","-21","0","15","29","14","0","27","28","1","0","25","99","74","0","15","55","40","0","15","59","44","0","10","43","33","0","8","51","43","0","4","42","38","0","6","39","33","0","3","21","18","0","1","2","1","0","156","474"
"M15 [Laboratory Testing]","15.4.3","Out of blood smears examined for malaria, number of blood smears tested positive for Plasmodium Falciparum","TOTAL","154","1","1","0","0","2","1","-1","0","3","3","0","0","3","2","-1","0","3","4","1","0","3","10","7","0","1","18","17","0","3","7","4","0","2","3","1","0",NA,"2","2","0",NA,"1","1","0","1",NA,"-1","0","22","52"
"M16 [Stock Position (During the month)]","16.1.1","Stock position of DPT vaccines","1. Balance From Previous Month","154","21490","18410","-3080","0","36590","22480","-14110","0","13390","22280","8890","0","30790","2030","-28760","0","28640","8330","-20310","0","39440","11680","-27760","0","63340","4830","-58510","0","60790","14730","-46060","0","50240","14220","-36020","0","48940","17270","-31670","0","58840","17270","-41570","0","47140","6470","-40670","0","499630","160000"
"M16 [Stock Position (During the month)]","16.1.1","Stock position of DPT vaccines","2. Stocks Received","154","36000","30070","-5930","0",NA,"22500","22500","0","40000","12000","-28000","0","27000","30000","3000","0","36000","30000","-6000","0","48000","20000","-28000","0","24000","30000","6000","0","24000","2000","-22000","0","36000","30000","-6000","0","36000","30000","-6000","0","15000","15000","0","0","24000","21370","-2630","0","346000","272940"
"M16 [Stock Position (During the month)]","16.1.1","Stock position of DPT vaccines","3. Unusable Stock","154",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA
"M16 [Stock Position (During the month)]","16.1.1","Stock position of DPT vaccines","4. Stock Distributed","154","20900","26000","5100","0","23200","22700","-500","0","22600","32250","9650","0","29150","23700","-5450","0","25200","26650","1450","0","24100","26850","2750","0","26550","20100","-6450","0","34550","2510","-32040","0","37300","26950","-10350","0","26100","25500","-600","0","26700","25800","-900","0","27150","24600","-2550","0","323500","283610"
"M16 [Stock Position (During the month)]","16.1.1","Stock position of DPT vaccines","5. Total Stock","154","36590","22480","-14110","0","13390","22280","8890","0","30790","2030","-28760","0","28640","8330","-20310","0","39440","11680","-27760","0","63340","4830","-58510","0","60790","14730","-46060","0","50240","14220","-36020","0","48940","17270","-31670","0","58840","21770","-37070","0","47140","6470","-40670","0","43990","3240","-40750","0","522130","149330"
